,valor
2015-02-28,13173.0
2015-03-31,36065.0
2015-04-30,-84781.0
2015-05-31,-109364.0
2015-06-30,-98862.0
2015-07-31,-149357.0
2015-08-31,-77320.0
2015-09-30,-87755.0
2015-10-31,-166668.0
2015-11-30,-133902.0
2015-12-31,-614393.0
2016-01-31,-92273.0
2016-02-29,-96334.0
2016-03-31,-114522.0
2016-04-30,-55822.0
2016-05-31,-66386.0
2016-06-30,-87720.0
2016-07-31,-84240.0
2016-08-31,-22086.0
2016-09-30,-32269.0
2016-10-31,-78765.0
2016-11-30,-118034.0
2016-12-31,-478107.0
2017-01-31,-31075.0
2017-02-28,49629.0
2017-03-31,-57594.0
2017-04-30,74382.0
2017-05-31,44844.0
2017-06-30,16851.0
2017-07-31,50781.0
2017-08-31,49442.0
2017-09-30,49283.0
2017-10-31,86925.0
2017-11-30,-4801.0
2017-12-31,-340631.0
2018-01-31,91067.0
2018-02-28,77031.0
2018-03-31,75118.0
2018-04-30,131460.0
2018-05-31,43062.0
2018-06-30,8397.0
2018-07-31,58145.0
2018-08-31,123744.0
2018-09-30,151006.0
2018-10-31,66605.0
2018-11-30,63168.0
2018-12-31,-342358.0
2019-01-31,44666.0
2019-02-28,192503.0
2019-03-31,-38612.0
2019-04-30,136384.0
2019-05-31,40674.0
2019-06-30,59530.0
2019-07-31,51625.0
2019-08-31,127831.0
2019-09-30,162034.0
2019-10-31,74158.0
2019-11-30,100597.0
2019-12-31,-307311.0
2020-01-31,114284.0
2020-02-29,222114.0
2020-03-31,-357616.0
2020-04-30,-981342.0
2020-05-31,-398233.0
2020-06-30,-53381.0
2020-07-31,108503.0
2020-08-31,214611.0
2020-09-30,299710.0
2020-10-31,366002.0
2020-11-30,376406.0
2020-12-31,-156255.0
2021-01-31,254499.0
2021-02-28,397851.0
2021-03-31,154230.0
2021-04-30,90283.0
2021-05-31,266668.0
2021-06-30,318146.0
2021-07-31,307012.0
2021-08-31,387836.0
2021-09-30,330141.0
2021-10-31,252878.0
2021-11-30,314136.0
2021-12-31,-291332.0
2022-01-31,167430.0
2022-02-28,353474.0
2022-03-31,99158.0
2022-04-30,205500.0
2022-05-31,277754.0
2022-06-30,285255.0
2022-07-31,225378.0
2022-08-31,288875.0
2022-09-30,278556.0
2022-10-31,160471.0
2022-11-30,127972.0
2022-12-31,-454757.0
2023-01-31,90109.0
2023-02-28,252461.0
2023-03-31,195032.0
2023-04-30,181972.0
2023-05-31,156213.0
2023-06-30,155809.0
2023-07-31,142365.0
2023-08-31,219922.0
2023-09-30,204807.0
2023-10-31,187218.0
2023-11-30,121535.0
2023-12-31,-451630.0
2024-01-31,173244.0
2024-02-29,307831.0
2024-03-31,245627.0
2024-04-30,240310.0
2024-05-31,139784.0
2024-06-30,206577.0
2024-07-31,191738.0
2024-08-31,239331.0
2024-09-30,252256.0
2024-10-31,131510.0
2024-11-30,106192.0
2024-12-31,-555115.0
2025-01-31,154817.0
2025-02-28,440662.0
2025-03-31,80132.0
2025-04-30,238216.0
2025-05-31,152964.0
2025-06-30,161802.0
2025-07-31,134133.0
2025-08-31,152559.0
2025-09-30,214031.0
2025-10-31,93551.0
2025-11-30,82956.0
2025-12-31,-631898.0
2026-01-31,117211.0
2026-02-28,268689.0
2026-03-31,227974.0
2026-04-30,85888.0
